"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"269",80.8,"Gunnison","CO",14226,4,11.7,21.3,71.1,6.7,0.8,96.8,0.6,1,0.7,5.8,784.2,2.6,5.8,-1111.1,-1111.1,6.8,13.9,-1111.1,1.1,2288,959,111,63.3,49.2,529,355,330,1076,1344
"270",80.8,"Hinsdale","CO",765,1,9.3,19.3,63.9,14.9,1.8,97.9,0,1.6,0.5,1.6,495.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,168,-2222,-2222,130.7,130.7,41,18,29,59,51
"271",76.3,"Huerfano","CO",7771,5,19.2,20.4,61,15.9,2.8,91.9,3,3.3,0.6,34.3,905.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1576,1279,258,64.3,25.7,1240,254,198,593,598
"272",81.3,"Jackson","CO",1448,1,13.1,22.9,60.6,14.3,2.2,98.8,0.3,0.8,0.1,8.1,740.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,307,213,24,69.1,0,139,47,53,107,109
"273",78.5,"Jefferson","CO",526801,682,6.8,25.5,63.3,9.9,1.3,93.8,1.1,0.9,2.6,12.6,763.8,11,5.2,13.9,74.9,14.2,20.8,20,4.1,61303,52187,6366,93.2,60.7,28929,15399,8630,37679,39690
"274",77.9,"Kiowa","CO",1422,1,10.3,23.5,55.5,16.3,4.7,97.7,0.6,1.5,0.3,3.2,754.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,324,304,28,0,0,134,40,42,104,106
"275",77.9,"Kit Carson","CO",7642,4,13.2,25.6,58.6,13.1,2.7,97,1.9,0.5,0.5,15.9,789.2,13.4,5.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1.5,1510,1128,118,39.3,13.1,1163,159,167,546,591
"276",80.1,"Lake","CO",7738,21,11.6,28.6,63.8,7.1,0.6,96.5,0.4,1.9,0.9,41.3,856.1,13.4,-1111.1,12.1,86.9,-1111.1,-1111.1,-1111.1,1.9,1460,518,110,38.8,51.7,988,215,158,530,604
"277",79.7,"La Plata","CO",47452,28,10.6,22.7,66.7,9.3,1.2,91.4,0.6,5.8,0.7,10.3,691.5,8.2,4.2,12.1,67.8,8.7,16.5,20.9,1.4,6532,4428,621,94.8,67.4,2670,1108,1141,3524,4108
"278",79.7,"Larimer","CO",271927,105,9.3,24.9,65,8.8,1.3,94.9,0.9,0.7,1.9,9.3,730.5,9.1,5.1,13.6,75.8,12.8,18.4,20.7,3.5,33688,25197,3351,91.2,55.5,13286,7180,5820,19644,23186
