"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"2984",78.3,"Thurston","WA",228867,315,9,23.7,64.5,10,1.8,86.9,2.7,1.6,5.4,5,783,13.5,6.3,14.6,73.8,23.7,25.9,21.1,6.3,95.7,49.4,0,1,0.165655162168421,0.109356088907531,0.0197756775769333,0.0704645055862138,0.0268059615409823,0.0298426597106617,0.0610835113843411,0.0671831238230064
"2985",76.5,"Wahkiakum","WA",3849,15,8.9,20.2,59.6,17.6,2.5,96.1,0.3,1.7,0.5,2.6,936,14.1,6.4,21.1,NA,21.8,NA,17.7,7.7,26,26,1,0,0.141855027279813,0.183164458300857,0.027799428422967,0.113535983372304,0.0311769290724864,0.027799428422967,0.0636528968563263,0.0657313587944921
"2986",78.8,"Walla Walla","WA",57558,45,14,25,60.3,11.6,3.2,94.1,1.9,1.1,1.6,16.7,769.5,13.3,6.1,15.8,79.7,18.9,26.9,14.8,6.7,126.8,40,0,1,0.152263803467806,0.135793460509399,0.0196323708259495,0.119114632197088,0.0288057263977206,0.0314291671010112,0.0602870148372077,0.0715625977275096
"2987",79.1,"Whatcom","WA",183471,87,13,23.8,64,10.3,1.9,90.5,0.9,2.9,3.5,5.8,747.4,11.3,6.2,15.3,74,18,26.3,17.9,4.6,95.4,41.4,0,1,0.130156809523031,0.111390901014329,0.0180028451362886,0.0793749420889405,0.0275901913653929,0.0304298772013016,0.0611268265829477,0.0725727771691439
"2988",80.1,"Whitman","WA",40170,19,15.8,21.5,69.1,7.6,1.8,87.4,2.1,0.7,7.6,3.4,707.7,7.9,5.3,13,75.5,15.8,15.6,14.7,4.3,74.7,39.8,1,1,0.13848643266119,0.0923574807069953,0.0111774956435151,0.0356733881005726,0.0216828478964401,0.0221060492905153,0.0633806323126711,0.0976848394324123
"2989",77.2,"Yakima","WA",231586,54,17.9,31.7,57.2,9.2,1.9,90.4,1.3,5,1.5,38.5,824.3,18.6,6.1,23.8,79.1,26.2,27,20.1,7.9,79.9,33.7,0,1,0.224555888525213,0.105645418980422,0.0183214874819721,0.185106180857219,0.0390049484856598,0.0206230082992927,0.0549903707478,0.0650600640798667
"2990",74.9,"Barbour","WV",15689,46,19.4,22.3,62.2,13.6,1.9,97.2,0.8,0.7,0.5,0.5,1007.3,29.6,8.2,32.1,79.7,30.6,NA,24.8,12.2,31.9,25.5,1,0,0.158901140926764,0.145962139078335,0.0411116068583084,0.189368347249665,0.0251131365925171,0.0609981515711645,0.0749569762253808,0.043916119574224
"2991",75.1,"Berkeley","WV",93394,291,11.6,25.2,64.1,9.6,1,92.4,5.2,0.3,0.6,2.4,980.6,18.3,7.5,30.8,81.9,28.5,25.1,30.4,8,47.1,30,0,1,0.0958948112298435,0.0963659335717498,0.0247125082981776,0.150063173223119,0.0166391845300555,0.0440927682720517,0.0720924256376213,0.0427436452020472
"2992",73.3,"Boone","WV",25703,51,18.4,23.2,63.4,11.9,1.6,98.8,0.6,0.1,0.2,0.5,1128.4,33.6,12.6,37.3,84.2,32.2,41.9,31.8,13.4,19.5,31.1,0,0,0.151655448780298,0.127533750924017,0.0640781231762829,0.254445006419484,0.0167295646422597,0.0722483756759911,0.0739213321402171,0.0401898611057075
"2993",75.3,"Braxton","WV",14851,29,19.9,21.4,63,13.4,2.1,98.5,0.7,0.2,0.2,0.5,937.7,30.2,8.1,32.5,NA,24.4,NA,23.8,11.1,20.2,26.9,1,1,0.156083765403003,0.139990573025386,0.0403339842434853,0.233519628307858,0.0234327654703387,0.0530603999730658,0.0756851390478756,0.0420173725675039
