"","county_name","state_abbr","population_size","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","prim_care_phys_rate","major_depression","recent_drug_use","ale","all_death","diabetes","health_status","no_exercise","obesity","poverty","smoker","unhealthy_days","population_density","uninsured","elderly_medicare","disabled_medicare","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled"
"1772","Sullivan","NH",43041,23.1,61.1,13.4,2.3,98.3,0.3,0.2,0.5,0.9,86,2417,2835,77.3,824.6,6,11.9,20.1,21.8,7.6,25.1,6,80,3312,6182,1127,37.2,5138,653,937
"1773","Atlantic","NJ",271015,26.1,60.4,11.6,1.9,74,17.9,0.3,6.4,13.7,73.1,13902,13480,75.5,981.1,9.3,16.7,29.3,25.8,10.8,24.5,6.2,483,34462,33917,5591,42.8,39226,7132,5681
"1774","Bergen","NJ",902561,24.2,61,12.5,2.3,79.2,5.9,0.2,13.6,13.1,154.8,47363,42982,79.9,691.3,5.6,11.7,23,16.2,6.1,16.6,5.3,3854,85582,128345,11133,106.7,83761,17216,12515
"1775","Burlington","NJ",450743,25.2,62,11.3,1.6,77.6,16.6,0.2,3.7,4.8,81.4,23382,22476,77.6,861.4,7.1,11.9,25.2,21.8,5.8,21.1,5.7,560,36226,53956,7184,51,38765,9015,11577
"1776","Camden","NJ",518249,27.3,60.6,10.4,1.7,73.4,20.3,0.3,4.6,11.1,98,26197,26279,75.8,921.3,7,17.3,28.5,24.1,10.9,23.3,6.3,2331,68258,62211,10632,57.9,65974,12577,14440
"1777","Cape May","NJ",99286,22.4,57.1,17.2,3.3,93.3,5,0.2,0.8,3.9,42.3,5340,4839,76.6,869,9.5,15.9,27.3,19.9,9.6,24.1,6.6,389,11062,19628,2624,49.4,12751,3756,2183
"1778","Cumberland","NJ",153252,26.2,61.3,10.7,1.8,74.3,21.7,1,1.4,21.7,55.5,7845,7760,74.7,992.8,12.7,19,31.9,24.5,14.9,26.6,6.7,313,22848,18366,4283,39.8,31797,4385,4103
"1779","Essex","NJ",791057,28.1,60.4,9.8,1.8,51.4,42.6,0.3,4.4,17.2,138.3,39494,39507,74.7,899.8,7.8,17.7,30.6,25.2,14.4,17.8,5.2,6265,119907,84961,15622,70.9,123336,20443,10344
"1780","Gloucester","NJ",276910,26,62.5,10.1,1.4,86.9,9.9,0.2,2,3.1,47.3,14245,14514,76.7,962.7,8.1,13.6,24.5,22.4,6.7,22.8,6.5,853,27862,28435,4953,32.1,28303,6338,5718
"1781","Hudson","NJ",603521,24.6,64.4,9.4,1.7,71.1,15.1,0.6,11.1,40.1,78.7,31518,30173,76.7,807.2,6.3,19.5,33.7,21.2,15,20.3,6.1,12926,115257,60422,9975,46.9,120339,15746,11417
